player,key,web_key,club,league,minutes,goals,assists,xg,xa,form
David Raya Martín,david raya martin,raya,Arsenal,EPL,3330,0,0,0.0,0.07,5.0
Kepa Arrizabalaga Revuelta,kepa arrizabalaga revuelta,arrizabalaga,Arsenal,EPL,90,0,0,0.0,0.0,0.7
Karl Hein,karl hein,hein,Arsenal,EPL,0,0,0,0.0,0.0,0.0
Tommy Setford,tommy setford,setford,Arsenal,EPL,0,0,0,0.0,0.0,0.0
Gabriel dos Santos Magalhães,gabriel dos santos magalhaes,gabriel,Arsenal,EPL,2750,3,5,2.94,1.75,6.0
William Saliba,william saliba,saliba,Arsenal,EPL,2614,1,0,0.88,1.21,4.3
Riccardo Calafiori,riccardo calafiori,calafiori,Arsenal,EPL,1697,1,2,3.36,0.76,3.3
Jurriën Timber,jurrien timber,j.timber,Arsenal,EPL,2452,3,6,4.71,1.53,0.0
Jakub Kiwior,jakub kiwior,kiwior,Arsenal,EPL,0,0,0,0.0,0.0,0.0
Myles Lewis-Skelly,myles lewis-skelly,lewis-skelly,Arsenal,EPL,697,0,0,0.1,0.2,3.0
Benjamin White,benjamin white,white,Arsenal,EPL,699,0,1,0.45,0.69,0.3
Brayden Clarke,brayden clarke,clarke,Arsenal,EPL,0,0,0,0.0,0.0,0.0
Maldini Kacurri,maldini kacurri,kacurri,Arsenal,EPL,0,0,0,0.0,0.0,0.0
Josh Nichols,josh nichols,nichols,Arsenal,EPL,0,0,0,0.0,0.0,0.0
Bukayo Saka,bukayo saka,saka,Arsenal,EPL,2218,7,10,7.57,7.16,4.0
Martin Ødegaard,martin ødegaard,ødegaard,Arsenal,EPL,1363,1,7,1.25,3.65,2.3
Noni Madueke,noni madueke,madueke,Arsenal,EPL,1205,3,1,1.23,2.86,4.0
Gabriel Martinelli Silva,gabriel martinelli silva,martinelli,Arsenal,EPL,1065,1,5,4.12,1.27,2.7
Leandro Trossard,leandro trossard,trossard,Arsenal,EPL,1997,6,6,5.6,3.59,3.7
Declan Rice,declan rice,rice,Arsenal,EPL,3093,4,9,3.15,7.32,2.7
Mikel Merino Zazón,mikel merino zazon,merino,Arsenal,EPL,1024,4,3,3.36,1.45,0.3
Fábio Ferreira Vieira,fabio ferreira vieira,fabio vieira,Arsenal,EPL,0,0,0,0.0,0.0,0.0
Christian Nørgaard,christian nørgaard,nørgaard,Arsenal,EPL,101,0,0,0.08,0.04,0.3
Ethan Nwaneri,ethan nwaneri,nwaneri,Arsenal,EPL,165,0,0,0.23,0.08,0.0
Martín Zubimendi Ibáñez,martin zubimendi ibanez,zubimendi,Arsenal,EPL,2991,5,1,2.84,2.27,1.3
Ismeal Kabia,ismeal kabia,kabia,Arsenal,EPL,0,0,0,0.0,0.0,0.0
Albert Sambi Lokonga,albert sambi lokonga,sambi,Arsenal,EPL,0,0,0,0.0,0.0,0.0
Kai Havertz,kai havertz,havertz,Arsenal,EPL,577,2,3,3.31,0.64,4.3
Gabriel Fernando de Jesus,gabriel fernando de jesus,g.jesus,Arsenal,EPL,418,3,0,2.71,0.26,1.7
Eberechi Eze,eberechi eze,eze,Arsenal,EPL,1885,7,3,5.18,2.66,2.3
Cristhian Mosquera,cristhian mosquera,mosquera,Arsenal,EPL,986,0,0,0.1,0.63,3.3
Viktor Gyökeres,viktor gyokeres,gyokeres,Arsenal,EPL,2217,14,1,12.26,1.94,1.3
Max Dowman,max dowman,dowman,Arsenal,EPL,152,1,1,1.19,0.3,1.0
Andre Harriman-Annous,andre harriman-annous,harriman-annous,Arsenal,EPL,0,0,0,0.0,0.0,0.0
Piero Hincapié,piero hincapie,hincapie,Arsenal,EPL,1787,1,2,0.36,1.67,1.0
Marli Salmon,marli salmon,salmon,Arsenal,EPL,0,0,0,0.0,0.0,0.0
Emiliano Martínez Romero,emiliano martinez romero,martinez,Aston Villa,EPL,2835,0,1,0.0,0.08,2.7
Marco Bizot,marco bizot,m.bizot,Aston Villa,EPL,585,0,0,0.0,0.0,0.7
Joe Gauci,joe gauci,gauci,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Filip Marschall,filip marschall,marschall,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Matty Cash,matty cash,cash,Aston Villa,EPL,3016,3,3,1.14,2.94,0.7
Lucas Digne,lucas digne,digne,Aston Villa,EPL,1842,0,7,0.67,3.28,1.7
Ezri Konsa Ngoyo,ezri konsa ngoyo,konsa,Aston Villa,EPL,3035,0,1,1.27,0.59,0.7
Ian Maatsen,ian maatsen,maatsen,Aston Villa,EPL,1590,0,1,1.26,2.39,2.3
Tyrone Mings,tyrone mings,mings,Aston Villa,EPL,1322,0,1,1.3,0.42,1.3
Pau Torres,pau torres,pau,Aston Villa,EPL,1673,0,2,1.33,0.39,1.7
Andrés García,andres garcia,a.garcia,Aston Villa,EPL,83,0,0,0.0,0.01,0.3
Álex Moreno Lopera,alex moreno lopera,alex moreno,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Lamare Bogarde,lamare bogarde,bogarde,Aston Villa,EPL,1042,0,0,0.0,0.2,1.0
Lino da Cruz Sousa,lino da cruz sousa,sousa,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Yasin Özcan,yasin ozcan,yasin,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Morgan Rogers,morgan rogers,rogers,Aston Villa,EPL,3280,10,8,6.84,4.32,4.7
Youri Tielemans,youri tielemans,tielemans,Aston Villa,EPL,1857,0,4,1.14,3.26,2.3
Leon Bailey,leon bailey,bailey,Aston Villa,EPL,450,0,2,0.5,1.46,2.0
Emiliano Buendía Stati,emiliano buendia stati,buendia,Aston Villa,EPL,1753,6,2,3.38,2.23,3.0
Samuel Iling-Junior,samuel iling-junior,iling jr,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Donyell Malen,donyell malen,malen,Aston Villa,EPL,640,4,2,4.03,0.35,0.0
John McGinn,john mcginn,mcginn,Aston Villa,EPL,2136,5,4,3.0,4.11,4.0
Ross Barkley,ross barkley,barkley,Aston Villa,EPL,844,3,2,1.58,1.26,5.0
Enzo Barrenechea,enzo barrenechea,barrenechea,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Lewis Dobbin,lewis dobbin,dobbin,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Boubacar Kamara,boubacar kamara,kamara,Aston Villa,EPL,1410,1,3,0.53,0.84,0.0
Amadou Onana,amadou onana,onana,Aston Villa,EPL,1755,2,0,1.68,0.69,0.3
Ben Broggio,ben broggio,broggio,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Leander Dendoncker,leander dendoncker,dendoncker,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Jamaldeen Jimoh-Aloba,jamaldeen jimoh-aloba,jimoh-aloba,Aston Villa,EPL,8,0,0,0.0,0.0,0.0
Kadan Young,kadan young,young,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Ollie Watkins,ollie watkins,watkins,Aston Villa,EPL,2833,16,4,15.4,1.18,12.3
Zépiqueno Redmond,zepiqueno redmond,redmond,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Harvey Elliott,harvey elliott,elliott,Aston Villa,EPL,110,0,0,0.29,0.08,0.0
Jadon Sancho,jadon sancho,sancho,Aston Villa,EPL,863,0,2,0.61,1.87,0.3
James Wright,james wright,wright,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Douglas Luiz Soares de Paulo,douglas luiz soares de paulo,douglas luiz,Aston Villa,EPL,913,1,1,0.53,1.42,1.3
Triston Rowe,triston rowe,rowe,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Bradley Burrowes,bradley burrowes,burrowes,Aston Villa,EPL,16,0,0,0.0,0.0,0.0
Sam Proctor,sam proctor,proctor,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Travis Patterson,travis patterson,patterson,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Victor Lindelöf,victor lindelof,lindelof,Aston Villa,EPL,942,0,1,0.28,0.1,1.3
George Hemmings,george hemmings,george hemmings,Aston Villa,EPL,25,0,0,0.04,0.01,0.0
Ronnie Hollingshead,ronnie hollingshead,hollingshead,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Leon Routh,leon routh,leon routh,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
TJ Carroll,tj carroll,carroll,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Alysson Edward Franco da Rocha dos Santos,alysson edward franco da rocha dos santos,alysson,Aston Villa,EPL,47,0,0,0.05,0.05,0.0
Tammy Abraham,tammy abraham,abraham,Aston Villa,EPL,278,2,0,2.05,0.36,0.0
Max Weiß,max weiß,weiss,Burnley,EPL,270,0,0,0.0,0.0,2.3
Etienne Green,etienne green,green,Burnley,EPL,0,0,0,0.0,0.0,0.0
Václav Hladký,vaclav hladky,hladky,Burnley,EPL,0,0,0,0.0,0.0,0.0
Connor Roberts,connor roberts,roberts,Burnley,EPL,0,0,0,0.0,0.0,0.0
Kyle Walker,kyle walker,walker,Burnley,EPL,3095,0,2,0.15,1.29,1.7
Hannes Delcroix,hannes delcroix,delcroix,Burnley,EPL,0,0,0,0.0,0.0,0.0
Owen Dodgson,owen dodgson,dodgson,Burnley,EPL,0,0,0,0.0,0.0,0.0
Hjalmar Ekdal,hjalmar ekdal,ekdal,Burnley,EPL,1539,0,0,0.25,0.32,0.0
Maxime Estève,maxime esteve,esteve,Burnley,EPL,2933,0,0,0.73,0.59,1.7
Quilindschy Hartman,quilindschy hartman,hartman,Burnley,EPL,1825,0,6,0.32,1.98,0.0
Bashir Humphreys,bashir humphreys,humphreys,Burnley,EPL,1574,0,2,0.42,0.68,1.0
Jordan Beyer,jordan beyer,jordan,Burnley,EPL,0,0,0,0.0,0.0,0.0
Lucas Pires Silva,lucas pires silva,lucas pires,Burnley,EPL,1405,0,0,0.6,1.46,1.3
Shurandy Sambo,shurandy sambo,sambo,Burnley,EPL,0,0,0,0.0,0.0,0.0
Oliver Sonne,oliver sonne,sonne,Burnley,EPL,164,1,0,0.55,0.08,0.0
Axel Tuanzebe,axel tuanzebe,tuanzebe,Burnley,EPL,1201,1,0,0.61,0.12,2.3
Joe Worrall,joe worrall,worrall,Burnley,EPL,496,0,0,0.08,0.02,0.0
Jaidon Anthony,jaidon anthony,anthony,Burnley,EPL,2717,8,4,5.11,2.85,3.7
Manuel Benson Hedilazio,manuel benson hedilazio,benson,Burnley,EPL,0,0,0,0.0,0.0,0.0
Jacob Bruun Larsen,jacob bruun larsen,bruun larsen,Burnley,EPL,1014,0,1,1.37,1.16,1.0
Enock Agyei,enock agyei,boateng,Burnley,EPL,0,0,0,0.0,0.0,0.0
Darko Churlinov,darko churlinov,churlinov,Burnley,EPL,0,0,0,0.0,0.0,0.0
Josh Cullen,josh cullen,cullen,Burnley,EPL,1513,2,2,0.94,1.36,0.0
Marcus Edwards,marcus edwards,edwards,Burnley,EPL,1058,1,3,1.49,1.84,0.3
Hannibal Mejbri,hannibal mejbri,hannibal,Burnley,EPL,1219,1,5,0.91,2.08,2.3
Luca Koleosho,luca koleosho,koleosho,Burnley,EPL,0,0,0,0.0,0.0,0.0
Josh Laurent,josh laurent,laurent,Burnley,EPL,1752,1,0,0.87,0.48,0.7
Loum Tchaouna,loum tchaouna,tchaouna,Burnley,EPL,1259,2,2,1.27,0.91,3.7
Aaron Ramsey,aaron ramsey,a.ramsey,Burnley,EPL,0,0,0,0.0,0.0,0.0
Oluwaseun Adewumi,oluwaseun adewumi,adewumi,Burnley,EPL,0,0,0,0.0,0.0,0.0
Jaydon Banel,jaydon banel,banel,Burnley,EPL,9,0,0,0.0,0.0,0.0
Mike Trésor Ndayishimiye,mike tresor ndayishimiye,tresor,Burnley,EPL,37,0,0,0.0,0.0,0.0
Zian Flemming,zian flemming,flemming,Burnley,EPL,1764,11,0,7.94,0.41,5.0
Zeki Amdouni,zeki amdouni,amdouni,Burnley,EPL,69,0,0,0.24,0.02,1.0
Lyle Foster,lyle foster,foster,Burnley,EPL,1361,3,2,3.22,0.37,0.3
Ashley Barnes,ashley barnes,barnes,Burnley,EPL,40,0,0,0.25,0.04,0.0
Michael Obafemi,michael obafemi,obafemi,Burnley,EPL,0,0,0,0.0,0.0,0.0
Martin Dúbravka,martin dubravka,dubravka,Burnley,EPL,3150,0,0,0.0,0.04,0.0
James Ward-Prowse,james ward-prowse,ward-prowse,Burnley,EPL,1092,0,1,0.24,1.87,1.0
Lesley Ugochukwu,lesley ugochukwu,ugochukwu,Burnley,EPL,2330,3,3,2.5,0.41,3.0
Armando Broja,armando broja,broja,Burnley,EPL,843,1,1,2.14,0.22,0.0
Florentino Ibrain Morris Luís,florentino ibrain morris luis,florentino,Burnley,EPL,2100,0,2,0.64,0.52,4.0
Oliver Pimlott,oliver pimlott,pimlott,Burnley,EPL,0,0,0,0.0,0.0,0.0
George Brierley,george brierley,brierley,Burnley,EPL,0,0,0,0.0,0.0,0.0
Kian McMahon-Brown,kian mcmahon-brown,mcmahon-brown,Burnley,EPL,0,0,0,0.0,0.0,0.0
Norberto Murara Neto,norberto murara neto,neto,Bournemouth,EPL,0,0,0,0.0,0.0,0.0
Đorđe Petrović,đorđe petrovic,petrovic,Bournemouth,EPL,3420,0,0,0.0,0.0,4.0
Will Dennis,will dennis,dennis,Bournemouth,EPL,0,0,0,0.0,0.0,0.0
Callan McKenna,callan mckenna,mckenna,Bournemouth,EPL,0,0,0,0.0,0.0,0.0
Alex Paulsen,alex paulsen,paulsen,Bournemouth,EPL,0,0,0,0.0,0.0,0.0
Illia Zabarnyi,illia zabarnyi,zabarnyi,Bournemouth,EPL,0,0,0,0.0,0.0,0.0
Marcos Senesi Barón,marcos senesi baron,senesi,Bournemouth,EPL,3288,0,6,1.53,4.72,4.7
Adam Smith,adam smith,smith,Bournemouth,EPL,1073,0,2,0.0,0.23,6.3
Adrien Truffert,adrien truffert,truffert,Bournemouth,EPL,3378,1,6,1.35,3.07,6.3
Matai Akinmboni,matai akinmboni,akinmboni,Bournemouth,EPL,0,0,0,0.0,0.0,0.0
Owen Bevan,owen bevan,bevan,Bournemouth,EPL,0,0,0,0.0,0.0,0.0
James Hill,james hill,hill,Bournemouth,EPL,2102,0,3,0.89,1.16,3.3
Julián Araujo Zúñiga,julian araujo zuniga,j.araujo,Bournemouth,EPL,0,0,0,0.0,0.0,0.0
Chris Mepham,chris mepham,mepham,Bournemouth,EPL,0,0,0,0.0,0.0,0.0
Julio Soler Barreto,julio soler barreto,soler,Bournemouth,EPL,34,0,0,0.0,0.0,0.0
Justin Kluivert,justin kluivert,kluivert,Bournemouth,EPL,945,2,0,2.31,1.55,0.3
Marcus Tavernier,marcus tavernier,tavernier,Bournemouth,EPL,2732,7,4,9.06,4.6,4.7
Tyler Adams,tyler adams,adams,Bournemouth,EPL,1769,2,2,0.63,0.63,2.7
David Brooks,david brooks,brooks,Bournemouth,EPL,1188,1,3,5.81,3.4,0.7
Ryan Christie,ryan christie,christie,Bournemouth,EPL,978,2,1,1.81,0.79,-0.7
Lewis Cook,lewis cook,cook,Bournemouth,EPL,872,0,1,0.07,0.52,0.7
Philip Billing,philip billing,philip,Bournemouth,EPL,0,0,0,0.0,0.0,0.0
Alex Scott,alex scott,scott,Bournemouth,EPL,2848,3,2,3.8,2.94,2.7
Luis Sinisterra Lucumí,luis sinisterra lucumi,sinisterra,Bournemouth,EPL,0,0,0,0.0,0.0,0.0
Romain Faivre,romain faivre,faivre,Bournemouth,EPL,0,0,0,0.0,0.0,0.0
Hamed Traorè,hamed traore,h.traore,Bournemouth,EPL,16,0,1,0.0,0.0,0.0
Dominic Sadi,dominic sadi,sadi,Bournemouth,EPL,0,0,0,0.0,0.0,0.0
Zain Silcott-Duberry,zain silcott-duberry,silcott-duberry,Bournemouth,EPL,0,0,0,0.0,0.0,0.0
Ben Winterburn,ben winterburn,winterburn,Bournemouth,EPL,6,0,0,0.0,0.0,0.0
Francisco Evanilson de Lima Barbosa,francisco evanilson de lima barbosa,evanilson,Bournemouth,EPL,2741,6,7,10.64,1.48,1.7
Enes Ünal,enes unal,enes unal,Bournemouth,EPL,214,1,0,2.0,0.07,1.0
Daniel Adu-Adjei,daniel adu-adjei,adu-adjei,Bournemouth,EPL,0,0,0,0.0,0.0,0.0
Junior Kroupi,junior kroupi,kroupi.jr,Bournemouth,EPL,1663,13,0,8.31,1.51,4.0
Ben Gannon-Doak,ben gannon-doak,gannon-doak,Bournemouth,EPL,105,0,1,0.26,0.13,0.3
Bafodé Diakité,bafode diakite,diakite,Bournemouth,EPL,1275,0,0,0.02,0.19,0.0
Remy Rees-Dottin,remy rees-dottin,rees-dottin,Bournemouth,EPL,0,0,0,0.0,0.0,0.0
Amine Adli,amine adli,adli,Bournemouth,EPL,1074,3,2,2.6,1.62,0.7
Álex Jiménez Sánchez,alex jimenez sanchez,a.jimenez,Bournemouth,EPL,2315,1,2,1.09,1.73,0.0
Veljko Milosavljevic,veljko milosavljevic,milosavljevic,Bournemouth,EPL,367,0,0,0.15,0.19,0.0
Malcom DaCosta,malcom dacosta,dacosta,Bournemouth,EPL,0,0,0,0.0,0.0,0.0
Fraser Forster,fraser forster,forster,Bournemouth,EPL,0,0,0,0.0,0.0,0.0
Charlie Stevens,charlie stevens,stevens,Bournemouth,EPL,0,0,0,0.0,0.0,0.0
Alex Tóth,alex toth,toth.a,Bournemouth,EPL,135,0,0,0.11,0.33,0.7
Christos Mandas,christos mandas,mandas,Bournemouth,EPL,0,0,0,0.0,0.0,0.0
Rayan Vitor Simplício Rocha,rayan vitor simplicio rocha,rayan,Bournemouth,EPL,1110,5,2,2.67,1.84,4.7
Reiss Nelson,reiss nelson,nelson,Brentford,EPL,118,0,1,0.71,0.11,0.3
Dango Ouattara,dango ouattara,o.dango,Brentford,EPL,2271,7,8,7.94,4.12,6.0
Caoimhín Kelleher,caoimhin kelleher,kelleher,Brentford,EPL,3330,0,0,0.0,0.22,3.7
Ellery Balcombe,ellery balcombe,balcombe,Brentford,EPL,0,0,0,0.0,0.0,0.0
Matthew Cox,matthew cox,cox,Brentford,EPL,0,0,0,0.0,0.0,0.0
Julian Eyestone,julian eyestone,eyestone,Brentford,EPL,0,0,0,0.0,0.0,0.0
Hákon Rafn Valdimarsson,hakon rafn valdimarsson,valdimarsson,Brentford,EPL,90,0,0,0.0,0.0,0.0
Nathan Collins,nathan collins,collins,Brentford,EPL,2971,1,2,2.24,1.71,2.3
Keane Lewis-Potter,keane lewis-potter,lewis-potter,Brentford,EPL,1960,3,4,3.01,2.51,2.3
Kristoffer Ajer,kristoffer ajer,ajer,Brentford,EPL,1805,0,2,0.69,0.73,1.7
Rico Henry,rico henry,henry,Brentford,EPL,1322,0,2,0.18,0.54,0.0
Michael Kayode,michael kayode,kayode,Brentford,EPL,3258,1,2,1.28,2.89,1.0
Ethan Pinnock,ethan pinnock,pinnock,Brentford,EPL,318,0,0,0.01,0.06,0.0
Mads Roerslev Rasmussen,mads roerslev rasmussen,roerslev,Brentford,EPL,0,0,0,0.0,0.0,0.0
Sepp van den Berg,sepp van den berg,van den berg,Brentford,EPL,2761,0,3,3.36,1.45,2.7
Benjamin Arthur,benjamin arthur,arthur,Brentford,EPL,0,0,0,0.0,0.0,0.0
Benjamin Fredrick,benjamin fredrick,fredrick,Brentford,EPL,0,0,0,0.0,0.0,0.0
Aaron Hickey,aaron hickey,hickey,Brentford,EPL,679,0,0,0.44,0.17,1.0
Kim Ji-soo,kim ji-soo,ji-soo,Brentford,EPL,0,0,0,0.0,0.0,0.0
Jayden Meghoma,jayden meghoma,meghoma,Brentford,EPL,0,0,0,0.0,0.0,0.0
Kevin Schade,kevin schade,schade,Brentford,EPL,2744,8,5,12.08,2.05,3.3
Mikkel Damsgaard,mikkel damsgaard,damsgaard,Brentford,EPL,2046,4,4,2.61,5.43,2.3
Antoni Milambo,antoni milambo,milambo,Brentford,EPL,45,0,0,0.0,0.01,0.0
Fábio Freitas Gouveia Carvalho,fabio freitas gouveia carvalho,carvalho,Brentford,EPL,100,1,0,0.7,0.03,0.0
Jordan Henderson,jordan henderson,henderson,Brentford,EPL,1911,1,3,0.33,2.31,0.3
Vitaly Janelt,vitaly janelt,janelt,Brentford,EPL,1434,1,4,0.82,2.27,1.3
Mathias Jensen,mathias jensen,jensen,Brentford,EPL,2239,3,2,2.21,6.06,2.7
Gustavo Nunes Fernandes Gomes,gustavo nunes fernandes gomes,nunes,Brentford,EPL,0,0,0,0.0,0.0,0.0
Frank Onyeka,frank onyeka,onyeka,Brentford,EPL,88,0,2,0.0,0.36,0.0
Yehor Yarmoliuk,yehor yarmoliuk,yarmoliuk,Brentford,EPL,2652,1,3,1.22,1.39,3.3
Romelle Donovan,romelle donovan,donovan,Brentford,EPL,38,0,0,0.09,0.01,0.0
Yunus Emre Konak,yunus emre konak,konak,Brentford,EPL,0,0,0,0.0,0.0,0.0
Paris Maghoma,paris maghoma,maghoma,Brentford,EPL,0,0,0,0.0,0.0,0.0
Myles Peart-Harris,myles peart-harris,peart-harris,Brentford,EPL,1,0,0,0.0,0.0,0.0
Ryan Trevitt,ryan trevitt,trevitt,Brentford,EPL,0,0,0,0.0,0.0,0.0
Igor Thiago Nascimento Rodrigues,igor thiago nascimento rodrigues,thiago,Brentford,EPL,3282,22,1,20.6,1.83,2.0
Iwan Morgan,iwan morgan,morgan,Brentford,EPL,0,0,0,0.0,0.0,0.0
Josh Dasilva,josh dasilva,dasilva,Brentford,EPL,2,0,0,0.08,0.0,0.3
Kaye Furo,kaye furo,furo,Brentford,EPL,1,0,0,0.0,0.0,0.0
Luka Bentt,luka bentt,bentt,Brentford,EPL,0,0,0,0.0,0.0,0.0
Ollie Shield,ollie shield,shield,Brentford,EPL,0,0,0,0.0,0.0,0.0
Joshua Stephenson,joshua stephenson,stephenson,Brentford,EPL,0,0,0,0.0,0.0,0.0
Conor McManus,conor mcmanus,mcmanus,Brentford,EPL,0,0,0,0.0,0.0,0.0
Riley Owen,riley owen,owen,Brentford,EPL,0,0,0,0.0,0.0,0.0
Jason Steele,jason steele,steele,Brighton,EPL,0,0,0,0.0,0.0,0.0
Bart Verbruggen,bart verbruggen,verbruggen,Brighton,EPL,3420,0,0,0.0,0.06,3.3
Tom McGill,tom mcgill,mcgill,Brighton,EPL,0,0,0,0.0,0.0,0.0
Carl Rushworth,carl rushworth,rushworth,Brighton,EPL,0,0,0,0.0,0.0,0.0
Kjell Scherpen,kjell scherpen,scherpen,Brighton,EPL,0,0,0,0.0,0.0,0.0
Olivier Boscagli,olivier boscagli,boscagli,Brighton,EPL,799,0,1,0.05,0.47,0.0
Diego Coppola,diego coppola,coppola,Brighton,EPL,193,0,0,0.0,0.01,0.0
Maxim De Cuyper,maxim de cuyper,de cuyper,Brighton,EPL,1404,2,3,1.66,4.08,5.7
Lewis Dunk,lewis dunk,dunk,Brighton,EPL,2837,1,1,1.83,0.56,5.7
Pervis Estupiñán Tenorio,pervis estupinan tenorio,estupinan,Brighton,EPL,0,0,0,0.0,0.0,0.0
Ferdi Kadıoğlu,ferdi kadıoglu,f.kadıoglu,Brighton,EPL,3130,1,2,2.06,3.31,3.0
Igor Julio dos Santos de Paulo,igor julio dos santos de paulo,igor,Brighton,EPL,103,0,0,0.0,0.0,0.0
Tariq Lamptey,tariq lamptey,lamptey,Brighton,EPL,0,0,0,0.0,0.0,0.0
Jan Paul van Hecke,jan paul van hecke,van hecke,Brighton,EPL,3210,3,3,3.31,1.57,3.0
Joël Veltman,joel veltman,veltman,Brighton,EPL,1047,1,0,1.15,0.2,2.3
Adam Webster,adam webster,webster,Brighton,EPL,0,0,0,0.0,0.0,0.0
Eiran Cashin,eiran cashin,cashin,Brighton,EPL,0,0,0,0.0,0.0,0.0
Jacob Slater,jacob slater,slater,Brighton,EPL,0,0,0,0.0,0.0,0.0
Charlie Tasker,charlie tasker,tasker,Brighton,EPL,0,0,0,0.0,0.0,0.0
Mitoma Kaoru,mitoma kaoru,mitoma,Brighton,EPL,1714,3,1,4.04,2.74,0.0
Georginio Rutter,georginio rutter,georginio,Brighton,EPL,1776,3,5,2.9,2.9,1.0
Solly March,solly march,march,Brighton,EPL,38,0,0,0.04,0.02,1.0
Yankuba Minteh,yankuba minteh,minteh,Brighton,EPL,2389,3,8,3.81,5.06,4.3
Julio Enciso Espínola,julio enciso espinola,enciso,Brighton,EPL,0,0,0,0.0,0.0,0.0
Brajan Gruda,brajan gruda,gruda,Brighton,EPL,708,1,1,1.86,0.88,0.0
Jack Hinshelwood,jack hinshelwood,hinshelwood,Brighton,EPL,1736,4,5,4.94,2.34,4.3
Matt O'Riley,matt o'riley,o'riley,Brighton,EPL,202,1,0,1.21,0.18,0.0
Abdallah Sima,abdallah sima,sima,Brighton,EPL,0,0,0,0.0,0.0,0.0
Yasin Ayari,yasin ayari,ayari,Brighton,EPL,1921,3,4,2.7,1.15,0.7
Carlos Baleba,carlos baleba,baleba,Brighton,EPL,1646,0,0,0.78,0.72,3.0
Diego Gómez Amarilla,diego gomez amarilla,gomez,Brighton,EPL,2117,5,1,6.24,1.72,0.7
James Milner,james milner,milner,Brighton,EPL,772,1,1,1.03,0.66,0.3
Jeremy Sarmiento Morante,jeremy sarmiento morante,sarmiento,Brighton,EPL,0,0,0,0.0,0.0,0.0
Tom Watson,tom watson,watson,Brighton,EPL,57,0,0,0.04,0.03,0.0
Mats Wieffer,mats wieffer,wieffer,Brighton,EPL,1901,2,4,1.92,1.86,0.7
Malick Yalcouyé,malick yalcouye,yalcouye,Brighton,EPL,0,0,0,0.0,0.0,0.0
Joe Knight,joe knight,knight,Brighton,EPL,1,0,0,0.0,0.0,0.0
Adrian Mazilu,adrian mazilu,mazilu,Brighton,EPL,0,0,0,0.0,0.0,0.0
Andrew Moran,andrew moran,moran,Brighton,EPL,0,0,0,0.0,0.0,0.0
Danny Welbeck,danny welbeck,welbeck,Brighton,EPL,2249,13,1,12.36,1.4,1.7
Evan Ferguson,evan ferguson,ferguson,Brighton,EPL,0,0,0,0.0,0.0,0.0
Stefanos Tzimas,stefanos tzimas,tzimas,Brighton,EPL,132,1,1,0.44,0.11,0.0
Charalampos Kostoulas,charalampos kostoulas,kostoulas,Brighton,EPL,351,2,1,2.12,0.54,1.0
Nehemiah Oriola,nehemiah oriola,oriola,Brighton,EPL,1,0,0,0.0,0.0,0.0
Freddie Simmonds,freddie simmonds,simmonds,Brighton,EPL,0,0,0,0.0,0.0,0.0
Pascal Groß,pascal groß,groß,Brighton,EPL,1636,1,6,1.39,3.95,3.7
Harry Howell,harry howell,howell,Brighton,EPL,92,0,0,0.0,0.03,0.0
Robert Lynch Sánchez,robert lynch sanchez,sanchez,Chelsea,EPL,3040,0,1,0.0,0.04,1.3
Filip Jörgensen,filip jorgensen,jorgensen,Chelsea,EPL,378,0,0,0.0,0.0,0.7
Mike Penders,mike penders,penders,Chelsea,EPL,0,0,0,0.0,0.0,0.0
Gabriel Słonina,gabriel słonina,slonina,Chelsea,EPL,0,0,0,0.0,0.0,0.0
Marc Cucurella Saseta,marc cucurella saseta,cucurella,Chelsea,EPL,2706,1,4,2.34,3.23,1.0
Reece James,reece james,james,Chelsea,EPL,1957,2,6,1.04,3.2,0.7
Trevoh Chalobah,trevoh chalobah,chalobah,Chelsea,EPL,2780,3,1,1.44,1.03,0.7
Levi Samuels Colwill,levi samuels colwill,colwill,Chelsea,EPL,225,0,0,0.0,0.12,2.3
Malo Gusto,malo gusto,gusto,Chelsea,EPL,2255,2,3,1.56,2.97,0.3
Benoît Badiashile Mukinayi,benoit badiashile mukinayi,b.badiashile,Chelsea,EPL,470,0,0,0.0,0.06,0.0
Wesley Fofana,wesley fofana,fofana,Chelsea,EPL,1718,0,2,0.72,0.6,1.7
